-,co,el,ht,be,ny,cy,hr,uk,ha,ja,lo,yo,km,sw,tg,zh-CN,no,pt,jw,uz,sq,af,is,sn,lb,xh,sk,haw,hy,la,ku,si,ne,mi,fy,bn,tl,sv,es,pa,yi,eo,gu,da,de,ka,lt,fa,iw,sm,gd,te,ceb,kk,pl,ru,vi,am,my,bg,mt,eu,zh-TW,ms,hi,kn,lv,gl,et,ig,su,th,sl,ky,ar,ml,so,ca,ko,ps,hmn,ur,sr,ro,cs,nl,tr,mk,bs,id,ga,ta,zu,sd,mn,st,it,az,fr,mr,fi,hu,mg,,
iw,20,50,33,36,45,29,44,41,34,33,31,16,32,37,41,39,32,26,27,50,35,32,40,25,33,40,38,15,45,21,25,35,32,31,32,35,28,31,41,22,27,34,24,34,39,28,46,42,0,34,37,32,29,48,39,30,32,38,24,41,28,28,39,46,36,44,31,40,40,23,32,32,42,34,25,27,51,44,21,45,29,35,35,35,36,37,47,38,38,34,32,29,38,26,49,33,36,34,26,32,39,40,36,3,
sm,31,36,59,42,99,38,39,35,73,34,84,65,107,86,60,29,21,28,60,60,39,34,55,57,45,80,30,85,36,38,41,52,55,112,28,54,59,33,28,44,27,33,40,25,38,38,43,41,34,0,76,34,55,51,26,30,49,62,31,37,35,36,29,70,52,52,31,46,43,91,36,46,48,15,32,38,82,35,35,53,82,43,31,31,37,32,49,39,40,57,41,35,87,49,84,85,24,48,23,49,40,33,85,35,
gd,36,38,44,41,68,67,36,28,68,31,63,43,55,70,63,38,26,25,38,45,36,31,45,40,47,78,27,49,34,22,31,40,47,65,34,47,42,26,31,47,29,46,32,29,38,37,39,41,37,76,0,39,39,41,29,37,40,57,32,39,30,42,38,56,50,49,33,46,29,48,30,44,45,18,32,37,63,45,31,55,66,42,37,25,37,23,31,40,40,37,84,40,68,35,68,61,31,41,31,42,26,32,48,20,
te,16,33,27,39,29,23,23,20,42,21,40,23,37,38,44,30,23,22,19,49,29,28,46,32,19,45,35,24,34,23,20,51,50,33,26,37,32,27,24,46,16,27,46,26,21,42,41,39,32,34,39,0,40,43,20,29,26,47,31,29,28,25,30,40,45,72,28,26,38,38,28,32,33,25,23,43,58,23,27,46,24,45,34,23,23,20,39,30,25,40,33,70,45,46,40,26,23,39,17,53,40,32,34,6,
ceb,32,40,55,50,53,27,35,31,48,16,63,41,57,61,51,24,26,28,40,54,46,30,59,35,41,47,36,38,37,23,31,42,36,54,26,42,70,37,32,34,24,29,24,20,26,27,31,33,29,55,39,40,0,45,30,30,40,55,35,35,40,31,24,42,42,40,31,34,20,51,43,39,38,17,23,22,56,32,27,39,43,38,27,32,37,33,32,35,39,36,27,44,59,30,61,43,28,33,36,32,30,39,63,18,
kk,32,49,51,71,45,42,56,67,40,39,66,31,60,51,81,48,34,43,37,129,48,37,49,45,59,57,40,31,83,25,32,42,55,51,32,48,48,39,40,53,33,45,47,38,47,63,88,50,48,51,41,43,45,0,44,61,50,60,41,63,43,40,48,70,44,55,69,45,66,36,38,37,71,37,40,47,56,40,38,60,39,60,55,39,47,38,60,76,63,48,33,45,45,46,98,45,39,97,37,53,46,48,47,38,
pl,23,45,28,51,26,25,51,45,25,23,28,15,27,29,35,32,37,36,18,42,48,31,43,10,30,23,37,14,43,21,12,22,32,23,21,22,26,46,41,26,27,29,17,47,41,27,39,32,39,26,29,20,30,44,0,50,26,35,25,43,35,26,32,35,34,25,30,49,26,15,21,28,36,16,23,18,35,50,23,27,21,31,38,36,49,41,48,46,42,27,24,29,24,15,32,15,50,34,43,21,51,39,23,6,
ru,22,39,32,106,30,24,51,74,27,28,20,24,30,44,57,34,30,34,22,52,45,34,35,21,42,25,46,22,53,22,18,31,38,24,24,31,29,42,41,33,24,38,27,36,43,46,57,38,30,30,37,29,30,61,50,0,22,32,19,64,32,22,34,38,38,33,54,37,41,25,29,28,45,34,30,27,39,36,16,41,25,34,41,38,53,36,35,59,50,32,20,29,25,21,49,23,34,51,36,32,38,29,27,15,
vi,22,36,48,38,36,37,37,30,36,44,49,25,82,52,50,46,19,21,47,44,26,33,41,31,36,41,20,32,41,18,27,42,55,41,30,47,31,27,31,48,22,37,38,32,35,33,29,41,32,49,40,26,40,50,26,22,0,43,22,25,27,28,46,60,40,43,29,34,28,36,37,44,40,18,34,25,49,30,44,53,45,39,34,34,31,36,43,29,35,57,31,38,41,35,49,37,31,37,27,43,31,32,57,9,
am,32,51,43,42,72,47,46,44,50,36,62,48,95,74,68,42,45,31,44,64,42,32,46,52,40,73,46,52,53,24,40,51,64,61,41,55,46,31,38,58,36,41,60,42,47,44,53,53,38,62,57,47,55,60,35,32,43,0,36,47,46,26,42,58,58,66,40,37,42,55,41,45,48,27,40,49,73,41,35,66,62,53,44,35,48,29,60,49,50,49,44,63,65,50,80,74,35,45,38,62,39,36,61,41,
