-,lb,my,mi,cy,ny,ceb,hu,no,ku,ha,pa,fi,hi,ca,eu,lv,ig,sl,ja,af,mk,yo,sd,sw,da,iw,uz,it,ka,fr,si,ht,lt,kn,gd,vi,mt,hmn,ms,gl,hy,st,sr,su,co,gu,yi,tg,hr,ro,fa,fy,is,so,sv,ta,la,ga,id,be,ru,am,az,ne,tr,zu,tl,mg,haw,eo,es,lo,sk,mn,zh-CN,zh-TW,el,sq,sn,jw,sm,et,bn,pl,cs,ps,ar,uk,mr,ky,ur,km,nl,xh,kk,de,bg,te,bs,ko,th,pt,ml,
yo,16,13,54,16,40,26,10,11,14,40,27,20,20,15,13,17,56,18,14,15,17,0,21,34,13,12,32,14,15,8,23,21,12,24,27,17,17,29,28,17,19,40,9,23,15,21,21,28,10,17,21,20,21,31,11,19,9,10,24,14,15,35,23,23,18,36,21,46,33,13,10,20,12,31,15,15,23,15,24,20,44,18,31,9,17,31,15,17,19,9,16,34,15,33,23,11,16,15,14,18,23,12,18,
sd,22,18,31,15,33,20,17,13,46,21,49,19,44,18,19,38,35,21,20,18,19,21,0,28,18,15,35,16,46,14,30,25,49,40,18,25,17,32,29,17,27,30,25,23,19,37,15,31,26,23,26,17,26,43,14,24,9,14,28,25,14,31,26,64,27,41,22,32,27,17,17,29,25,33,22,22,17,17,39,19,35,48,37,7,16,88,23,18,39,27,83,27,21,44,36,16,18,31,15,13,19,12,47,
sw,38,22,58,27,89,39,19,20,23,41,32,23,34,27,22,33,45,24,19,26,29,34,28,0,26,23,45,16,31,15,27,36,29,39,41,32,26,44,42,22,29,72,21,30,23,35,21,51,17,22,23,27,28,62,19,34,19,22,32,36,26,48,33,48,24,73,34,51,34,21,17,45,19,50,14,14,23,24,61,31,55,31,36,12,25,37,18,29,34,20,39,62,19,60,29,25,29,25,21,20,25,15,28,
da,24,9,17,19,12,11,19,41,7,9,22,32,20,22,15,17,11,19,18,19,21,13,18,26,0,18,19,15,23,22,15,16,14,20,16,22,18,17,23,20,20,16,19,15,13,14,17,25,24,23,18,20,22,24,39,18,12,11,24,22,21,28,21,27,27,16,16,15,13,18,18,14,13,25,20,20,24,16,13,17,16,19,16,25,20,22,17,28,17,14,21,22,22,18,23,33,27,13,19,17,17,15,14,
iw,22,11,17,17,23,18,20,14,17,22,12,19,16,26,15,22,16,23,18,16,19,12,15,23,18,0,27,18,14,12,16,20,25,22,23,17,13,19,25,24,19,21,22,18,16,11,17,24,25,24,23,18,25,29,16,19,7,20,22,20,14,19,20,16,20,22,14,20,11,21,23,17,20,28,21,21,27,21,15,14,21,29,17,14,18,25,13,21,16,23,20,18,21,27,26,24,21,16,17,9,13,11,11,
uz,32,30,31,32,45,35,28,19,17,26,44,30,24,29,28,52,43,37,25,19,30,32,35,45,19,27,0,19,39,20,30,27,60,32,25,28,22,27,36,28,49,37,31,27,23,31,19,58,27,25,38,21,30,50,23,32,8,19,36,44,31,38,78,45,41,41,23,38,30,27,30,35,24,58,26,26,29,35,28,27,34,46,40,24,19,47,27,32,38,32,40,43,17,44,82,26,33,30,25,25,31,23,34,
it,22,9,15,11,17,14,18,9,8,13,12,22,14,46,25,23,14,23,18,16,23,14,16,16,15,18,19,0,16,34,10,24,22,22,20,19,25,15,24,37,14,15,18,16,37,12,14,24,22,28,18,15,14,17,16,18,9,13,19,24,17,20,18,20,25,21,11,20,11,27,40,18,15,23,17,17,25,25,12,7,15,17,14,27,22,20,26,25,11,11,20,18,21,22,19,20,21,11,22,19,18,38,13,
ka,25,16,17,18,29,18,21,11,25,21,34,22,25,19,25,56,21,25,22,26,32,15,46,31,23,14,39,16,0,14,26,26,59,42,24,20,21,30,24,22,54,24,36,20,18,25,12,34,27,37,22,20,25,31,17,21,19,21,31,38,25,26,28,39,24,40,21,30,24,24,18,18,33,32,18,18,19,25,21,15,23,58,35,15,25,41,22,36,29,19,41,26,19,30,37,23,30,28,20,15,12,19,43,
fr,25,12,10,11,10,20,23,16,6,12,17,26,16,31,20,23,11,19,15,22,24,8,14,15,22,12,20,34,14,0,13,34,24,17,15,19,27,14,16,33,19,16,19,15,26,15,11,24,25,35,14,19,19,20,22,21,14,14,22,21,20,24,26,20,25,8,12,20,11,30,27,18,19,19,17,17,24,29,11,12,14,15,13,25,27,20,22,24,15,12,22,24,20,13,23,25,16,9,20,15,14,35,8,
si,12,13,25,19,26,30,19,9,15,24,36,19,29,18,18,29,27,17,24,19,16,23,30,27,15,16,30,10,26,13,0,22,31,31,24,27,22,22,28,16,19,26,22,15,16,22,13,29,20,24,26,15,20,29,19,31,19,18,28,22,19,29,16,33,22,33,28,30,17,14,13,29,22,38,15,15,16,18,32,20,34,42,27,13,17,43,26,17,21,16,41,36,15,40,27,19,15,30,15,15,22,12,27,
ht,46,16,35,29,37,32,25,14,16,27,35,19,20,34,32,24,28,34,18,22,34,21,25,36,16,20,27,24,26,34,22,0,30,18,26,28,33,30,49,39,25,30,22,29,29,20,26,39,24,33,22,25,27,32,28,22,15,18,53,22,15,27,21,30,25,24,34,57,17,26,29,55,14,45,25,25,22,29,21,40,40,22,36,16,26,32,21,26,30,8,29,58,17,29,30,30,25,14,32,16,32,27,15,
lt,31,17,19,16,35,22,19,14,33,23,39,21,33,28,34,118,35,35,22,23,37,12,49,29,14,25,60,22,59,24,31,30,0,47,24,16,22,40,25,35,57,34,58,15,19,36,16,48,33,31,37,22,21,42,10,22,12,23,23,36,37,31,45,50,26,42,24,34,30,30,32,27,54,41,22,22,26,24,37,20,28,139,41,28,21,47,28,34,34,32,40,40,18,41,55,24,36,28,34,15,23,24,53,
kn,28,22,18,23,32,21,18,14,20,26,49,27,37,21,22,40,24,29,19,19,26,24,40,39,20,22,32,22,42,17,31,18,47,0,27,19,14,33,33,22,35,29,25,18,16,52,14,30,23,18,28,18,27,41,20,28,12,16,32,22,19,35,39,48,23,34,26,37,22,16,17,33,29,25,21,21,20,20,28,20,30,47,41,10,17,53,15,24,52,22,44,42,13,33,30,11,22,36,28,19,25,15,45,
gd,30,18,37,38,44,23,15,15,20,46,26,19,30,24,23,21,34,24,22,19,21,27,18,41,16,23,25,20,24,15,24,26,24,27,0,24,15,47,35,25,15,44,17,21,24,19,20,39,21,16,23,20,31,40,15,23,14,51,25,27,26,30,22,28,19,44,32,36,38,26,19,36,16,42,25,25,19,21,25,24,51,14,28,14,24,35,20,20,25,12,21,39,14,50,26,21,20,20,22,22,25,17,20,
vi,24,11,23,21,18,24,19,10,16,20,26,18,22,19,13,16,23,25,26,21,15,17,25,32,22,17,28,19,20,19,27,28,16,19,24,0,18,30,32,23,19,23,18,26,13,20,13,30,19,23,22,16,19,29,14,22,12,16,35,19,11,26,22,29,26,19,18,33,23,18,17,32,12,31,29,29,21,16,22,27,23,16,25,13,21,36,23,20,21,8,23,51,22,26,31,23,16,10,17,15,22,12,11,
mt,25,13,24,16,20,28,17,15,13,22,22,23,21,29,17,19,19,19,15,22,21,17,17,26,18,13,22,25,21,27,22,33,22,14,15,18,0,23,22,26,24,22,19,21,26,16,18,30,22,28,17,20,32,27,24,24,14,14,22,38,15,30,22,22,25,22,19,23,17,22,23,30,18,29,16,16,27,40,13,16,22,13,16,22,25,24,23,20,14,8,16,26,20,24,27,20,22,12,18,17,17,21,15,
hmn,21,19,47,20,49,27,14,9,26,42,31,22,33,16,21,28,45,20,17,15,21,29,32,44,17,19,27,15,30,14,22,30,40,33,47,30,23,0,35,18,30,39,21,23,21,23,29,45,21,21,20,20,21,63,16,22,17,23,26,24,18,37,27,38,32,32,23,44,38,18,20,42,14,48,19,19,15,17,28,31,54,39,32,14,19,47,19,19,25,12,30,38,11,41,27,15,23,16,21,19,24,18,32,
ms,31,21,37,23,31,26,18,17,21,28,45,24,22,23,28,31,29,34,19,22,30,28,29,42,23,25,36,24,24,16,28,49,25,33,35,32,22,35,0,23,34,29,25,32,29,29,22,41,23,16,30,19,32,53,24,23,13,26,65,26,20,29,24,48,29,32,42,59,26,17,15,71,22,69,22,22,19,25,26,75,44,25,42,15,21,45,23,25,38,15,34,72,16,38,41,23,26,19,26,19,24,20,18,
gl,40,15,15,19,21,23,23,17,10,24,20,25,16,82,32,27,24,33,16,20,27,17,17,22,20,24,28,37,22,33,16,39,35,22,25,23,26,18,23,0,21,25,27,18,37,13,17,28,25,38,24,19,19,30,16,18,13,17,27,24,19,25,23,22,26,22,25,26,18,47,61,23,13,33,17,17,30,31,13,15,32,25,17,21,26,28,16,25,18,10,24,29,23,25,24,25,23,13,34,18,24,49,12,
hy,29,21,21,23,23,20,20,15,26,23,37,21,28,22,21,43,22,30,14,24,39,19,27,29,20,19,49,14,54,19,19,25,57,35,15,19,24,30,34,21,0,27,33,14,21,28,17,40,27,22,28,19,24,43,20,23,14,18,28,42,29,33,42,40,16,28,18,28,22,23,23,28,26,41,13,13,24,25,20,13,23,49,33,17,20,45,22,32,27,19,35,28,18,27,47,20,36,20,26,11,20,18,37,
st,34,21,53,17,98,29,16,20,21,52,31,20,23,21,18,32,64,26,18,25,24,40,30,72,16,21,37,15,24,16,26,30,34,29,44,23,22,39,29,25,27,0,26,31,17,27,29,41,22,23,20,27,25,42,14,37,19,22,25,28,18,52,28,40,26,97,28,51,47,30,20,28,20,45,14,14,26,21,77,25,59,28,32,9,21,37,24,29,27,15,28,31,19,74,34,26,21,17,24,18,21,17,28,
sr,24,16,23,14,17,14,14,10,25,16,24,18,22,20,16,51,16,47,14,18,42,9,25,21,19,22,31,18,36,19,22,22,58,25,17,18,19,21,25,27,33,26,0,14,15,21,13,22,46,22,20,15,20,32,15,18,11,19,23,24,24,29,28,25,21,27,13,18,22,21,23,22,57,24,17,17,20,19,19,13,16,59,24,20,20,38,27,23,25,42,31,34,18,18,31,20,26,23,76,8,18,19,24,
su,23,18,29,17,27,32,19,20,17,27,25,22,16,19,14,15,30,22,14,20,20,23,23,30,15,18,27,16,20,15,15,29,15,18,21,26,21,23,32,18,14,31,14,0,10,15,18,25,20,20,20,29,25,29,17,26,16,12,47,31,19,27,22,26,27,34,16,25,19,17,18,30,22,31,26,26,21,31,16,27,23,14,27,13,21,26,12,24,22,15,19,28,16,27,28,20,16,17,20,20,18,17,13,
co,24,11,24,11,21,21,14,9,17,17,25,14,21,41,34,28,17,18,13,14,19,15,19,23,13,16,23,37,18,26,16,29,19,16,24,13,26,21,29,37,21,17,15,10,0,8,9,27,13,20,19,19,16,29,12,13,9,14,17,24,11,22,19,18,20,19,17,32,17,28,29,27,18,26,13,13,15,23,18,17,23,17,19,12,19,22,10,16,16,7,20,27,15,22,20,20,19,8,17,18,17,23,11,
gu,18,15,25,25,24,12,8,14,15,23,54,16,33,14,14,35,30,17,11,14,19,21,37,35,14,11,31,12,25,15,22,20,36,52,19,20,16,23,29,13,28,27,21,15,8,0,10,32,17,13,20,11,21,31,14,32,10,18,27,20,17,33,32,54,22,26,20,25,24,12,11,30,14,29,24,24,11,12,20,20,27,26,47,4,10,36,18,15,53,11,39,45,11,30,26,13,13,24,14,13,19,10,27,
yi,19,13,29,13,25,20,15,13,11,21,17,18,16,17,14,15,20,16,7,16,18,21,15,21,17,17,19,14,12,11,13,26,16,14,20,13,18,29,22,17,17,29,13,18,9,10,0,17,19,17,17,14,16,15,22,14,12,9,17,19,18,25,23,19,16,17,19,25,18,26,14,19,14,31,11,11,18,14,15,16,19,13,19,17,22,22,9,24,12,8,14,22,13,20,19,18,26,10,20,7,19,16,11,
